Critics,Organization,Reviews,Score,Review Date
Lee Zumpe,Tampa Bay Newspapers,"The film is exquisitely beautiful and immersive, breathtaking in scope, and fearless in delivering stunning action sequences that are so vivid they practically erupt from the screen.",NaN,"Mar 27, 2024"
Cody Leach,Cody Leach (YouTube),"Dune Part Two is bigger in almost every way. The visual effects, sound design, and production as a whole is immaculate. Narratively, it does feel a bit too unresolved by the end for my taste but hopefully Dune: Messiah comes sooner rather than later.",4/5,"Mar 26, 2024"
Susan Granger,SSG Syndicate,"Visually stunning yet sterile - with an emphasis on action, as opposed to exposition and character-development, resulting in a shallow, self-important sequel.",6/10,"Mar 24, 2024"
Sarah Vincent,Sarah G Vincent Views,"If you are watching “Dune: Part Two” with the right mindset, i.e. from Chani’s point of view, you should be watching the film with growing dread and concerned about Paul, not cheering how everything is coming together.",NaN,"Mar 24, 2024"
Tim Cogshell,FilmWeek (KPCC - NPR Los Angeles),"As different from the first film as [Ridley Scott's] Alien is to [James Cameron's] Aliens. Same stuff, totally different genre!",NaN,"Mar 22, 2024"
Jeff Ewing,Humanoids from the Deep Dive Podcast,"""Dune is a stunning, sweeping epic with a cast in command of their roles [...] Part Two really cements Dune as one of our greatest modern examples of epic genre worldbuilding.""",4.5/5,"Mar 21, 2024"
Robin Holabird,Robin Holabird,"Holding her own amidst a powerful team, Zendaya exudes her own defiant looks in a harsh world where both people and nature challenge survival.",NaN,"Mar 20, 2024"
Sarah Knight Adamson,Sarah's Backstage Pass,"With an engaging story, a cast at their very best, along with stunning visuals, this is a masterpiece---as with the Oscar-winning first installment, Villeneuve shows visual mastery of, impressive cinematography, while maintaining an emotional heartbeat.",4/4,"Mar 18, 2024"
Gavin Spoors,Mediaversity Reviews,"Dune: Part Two improves upon its predecessor, thanks to a bigger focus on the Fremen, but its inclusiveness is still watered down.",B-,"Mar 18, 2024"
Reginald Ponder,vocalo.org,“Dune: Part Two” is the type of film that will engross you with its beauty and complexity yet might confuse you at the same time. It is an epic tale worthy of the big-screen experience.,3.5/4,"Mar 17, 2024"
Jim Ross,TAKE ONE Magazine,"""DUNE: PART TWO improves on its predecessor in some crucial ways, but the reliance on spectacle leaves gaps in the storytelling and a frustratingly ephemeral interest in the most interesting ideas the film brings forward.""",NaN,"Mar 15, 2024"
Filipe Freitas,Always Good Movies,"Directed with ferocity by Denis Villeneuve, the film pushes the envelope with its gripping dark atmosphere, suspenseful hunts and ambushes, intricate rituals and prophecies, psychedelic imagery, and exhilarating fights set against magnificent backdrops.",4.5/5,"Mar 15, 2024"
Deborah Ross,The Spectator,"There is little character development and it’s not for the literal-minded -- or anyone who has, despite their best efforts, paid some attention.",NaN,"Mar 14, 2024"
Marie Asner,Phantom Tollbooth,"Denis Villeneuve is the director of this massive undertaking... Also, on board here is composer Hans Zimmer with his unforgettable background music and Greig Fraser as the cinematographer who gets those gigantic sand worms into action.",4/5,"Mar 14, 2024"
William Evans,Black Nerd Problems,Dune: Part Two is a movie that feels like the culmination of everything that can make a big epic story like this great on the big screen.,NaN,"Mar 14, 2024"
Edwin Arnaudin,Asheville Movies,"Tonally inconsistent, this second chapter rarely feels like a Villeneuve film.",C,"Mar 14, 2024"
Jeffrey Zhang,Strange Harbors,"Collides dense sci-fi imagemaking with Herbert’s heady and prescient themes: the gravity of manufactured destiny, the untamable tendrils of belief, and a harrowing subversion of the hero’s journey.",A-,"Mar 14, 2024"
Kristen Maldonado,Pop Culture Planet,"I found the film to be long and dragged out, while the cultural and religious aspects felt whitewashed. The film is star-studded with actors like Christopher Walken that felt more like glorified cameos that don’t add much to the story.",NaN,"Mar 14, 2024"
Courtney Lanning,KUAF Public Radio 91.3 (Arkansas),"On every level, it's a set of cinematic genius. The craft is expertly made, and it shows in every shot, every note of the [score], and every scene that transports the audience to Arrakis.",NaN,"Mar 13, 2024"
tt stern-enzi,"WXIX-TV (Cincinnati, OH)",This was the best adaptation of a book that I've ever seen.,A,"Mar 12, 2024"
Jorge Cotte,The Nation,The film warns us against the very thing it gives us. We watch from reclining chairs as Paul starts a holy war—our hands are clean. We get the heroic battles and the guilt on the side. Our hero is tortured so we don’t have to be.,NaN,"Mar 12, 2024"
Paul Salfen,AMFM Magazine,An incredible sci-fi epic that well surpasses the first part and achieves on every level. This might be the best sci-fi film we've had in many years and will likely be one of the best films of the year.,9.5/10,"Mar 12, 2024"
Joshua Tyler,Giant Freakin Robot,Dune feels without tears. Dune speaks without words.,5/5,"Mar 12, 2024"
Rubén Rosario,MiamiArtZine,Toppled by arid self-importance.,NaN,"Mar 11, 2024"
Jackie K. Cooper,jackiekcooper.com,"Epic visually, but the story is still hard to follow if you have not read the book.",6/10,"Mar 11, 2024"
Tim Brennan,About Boulder,Dune: Part Two is a singular vision painted on an enormous cinematic canvas. See it on the biggest screen you can.,NaN,"Mar 11, 2024"
Víctor López G.,Espinof,"With his second foray into Frank Herbert's universe, Denis Villeneuve has once again crafted a cinematic juggernaut designed to be seen on the biggest screen and heard through the most powerful sound system possible.",9/10,"Mar 11, 2024"
CJ Sheu,Review Film Review,"Denis Villeneuve uses Dune: Part Two (2024), cowritten with Jon Spaihts, to examine the experience of being set before the prophecy, knowing you’re its intended subject. [... T]his narrative structure is famously hinted at in the Gospels.",NaN,"Mar 11, 2024"
Robert Roten,Laramie Movie Scope,"The genius of the author, Herbert, and now the director, Villeneuve, is to weave all this complexity into an easily understood, and compelling story. It's been tried before, but this is the first time it has really worked.",B+,"Mar 10, 2024"
MaryAnn Johanson,Flick Filosopher,"Ugly, outrageous, brutal, and cynical; a genuinely terrifying film about power and politics as religion and control. There is little escapism here; hits square in the social plexus of horrifying 2024.",4.5/5,"Mar 9, 2024"
Joe Friar,Fort Worth Report,"Like George Lucas and Ridley Scott, filmmaker Denis Villeneuve proves himself a visionary by delivering one of the greatest science fiction films of all time.",4/4,"Mar 9, 2024"
Tim Brayton,Alternate Ending,"Where it really comes into its own as a hugely satisfying Hollywood sci-fi epic is in the action-adventure material, which is also backloaded, so the very long film seems to keep getting bigger and richer as it goes along.",4/5,"Mar 9, 2024"
Rebecca Cusey,Christianity Today,"[Dune 2] owes its intellectual interest to Herbert’s books. Is faith merely another resource to be exploited in the quest for power? ... Or is it real, tapping into a true well of knowledge and sustenance? The Dune series asks but doesn’t try to answer.",NaN,"Mar 9, 2024"
Chris Klimek,Washington City Paper,"Grains of sand, not pixels, give Denis Villeneuve's spectacle its potent spice, in this urgent and compelling conclusion.",NaN,"Mar 9, 2024"
Walter Chaw,Film Freak Central,"Like its predecessor, Dune Part Two is gorgeously filmed and prodigiously imagined.",4/4,"Mar 9, 2024"
Margot Harrison,Seven Days (VT),"The film's real center of gravity is its spectacle, the craft with which Villeneuve and his crew depict Herbert's stupendously complex worlds.",3.5/5,"Mar 8, 2024"
Tony Baker,Tony Baker Comedy,It's impressive filmmaking.,4.5/5,"Mar 8, 2024"
Dwight Brown,DwightBrownInk.com,An epic and spectacular sci-fi allegory with mass appeal.,3.5/4,"Mar 8, 2024"
Graeme Tuckett,Stuff.co.nz,"Whether you think you're interested in a sci-fi or not, this is a powerful and quite beautiful reminder of what a stunning medium cinema can still be, when enough ambition, intelligence, artistry – and money – all come together in the same place. Bravo.",4.5/5,"Mar 8, 2024"
Adam Kempenaar,Filmspotting,You know Villeneuve will get the spectacle right. The question is about the human drama… It almost all connected in Part Two.,2.5/5,"Mar 8, 2024"
Matt Hudson,What I Watched Tonight,"I did not watch Dune: Part Two, I experienced it. From the beautiful majesty of its visuals to the awe-inspiring sound design and the fantastic production design, this film was an absolute joy to behold.",5/5,"Mar 8, 2024"
Deepanjana Pal,Film Companion,"The rest of us get to be Zendaya’s Chani — charmed but not won over, and both expecting as well as deserving more than what she gets...",NaN,"Mar 8, 2024"
Jeremy Aspinall,Radio Times,"As with the Oscar-winning first instalment, Villeneuve shows mastery of scale and scope, with stunning cinematography and a thumping score from Hans Zimmer.",4/5,"Mar 7, 2024"
Callum Crumlish,Daily Express (UK),"This is easily Zendaya's best on-screen performance to date, and her future in the series will no doubt expand into further joy.",5/5,"Mar 7, 2024"
Pablo Villaça,Cinema em Cena,The picture doesn´t ignore the Orientalism described by Edward Said in its own approach and how this influences the viewer's perception of the characters no matter how much the film tries to avoid those pitfalls. [Full review in Portuguese],4/5,"Mar 7, 2024"
Dennis Schwartz,Dennis Schwartz Movie Reviews,Epic sci-fi film.,A,"Mar 7, 2024"
Rob Dean,Bullz-Eye.com,"Dune: Part Two is the real deal in terms of sci-fi epics, and will probably end up being one of the most defining films of the genre for the next decade to come. It’s a tremendous work and stunning sequel that is simply unparalleled.",4.5/5,"Mar 6, 2024"
Chance Solem-Pfeifer,Willamette Week,"It’s curious to say that a two-hour, 45-minute epic of this tonnage is holding something back, but Villeneuve is (once again) just as interested in prophesying the next film as he is in cementing the current one.",3/4,"Mar 6, 2024"
Chris Hewitt,Minneapolis Star Tribune,"As in all of these sci-fi epics, there are plenty of scenes in which computer-generated characters drive computer-generated vehicles past computer-generated backdrops but, in ""Dune,"" it feels human, slightly messy and organic.",3.5/4,"Mar 6, 2024"
Lauren Veneziani,DC Film Girl,"DUNE: PART TWO is an exceptional cinematic achievement in storytelling from Denis Villeneuve with a completely memorable score from Hans Zimmer and electric performances from Timothee Chalamet, Zendaya, Rebecca Ferguson and Austin Butler.",5/5,"Mar 6, 2024"
Hanna Flint,The New Arab,"Cultural appropriation aside, there are too many characters to do them justice in a film more focused on the grandiose than the granular motivations of its side players or a more fervent exploration of imperialism and colonialism beyond ""good vs bad.""",NaN,"Mar 6, 2024"
Akhil Arora,The Long Take Podcast,"It feels more confident [as] he’s benefiting from the fact that he’s done the hard work. He’s set up the lore and the backstory in the first movie. The exposition of like “Oh, look at how this spaceship works. [...] This is why Arrakis is important.”",NaN,"Mar 6, 2024"
Mark Kermode,Kermode and Mayo's Take (YouTube),"What is really impressive about Part Two, is that despite how complex and like a miasma the plot becomes... the storytelling is so clear.",NaN,"Mar 6, 2024"
Dan Buffa,Ramble On With Buffa (Substack),"I still don’t love the material or the movies-but I recommend the sequel based on its kinetic first act, overall cast potency, thrilling sound, and overall satisfying qualities.",B,"Mar 5, 2024"
Chris Sawin,Bounding Into Comics,"Impeccably shot, superb visual effects, and dripping with mostly strong performances from its entire cast, Villnueve’s latest will have you almost entirely invested in the dry, twisty, and monochromatic sci-fi drama for nearly all of its three hours.",3.5/5,"Mar 5, 2024"
Bruce R. Miller,Sioux City Journal,"Villeneuve conjures memories of “Lawrence of Arabia” more than once and gets some gorgeous visuals just holding on untouched sand dunes. When he introduces those worms, the action heats up and Chalamet gets to ride to glory.",4/4,"Mar 5, 2024"
Yago García,Cinemanía (Spain),"Is Villeneuve's Dune a flawless adaptation? Not at all, nor is it a film free of blemishes. But it is one that solves its difficulties with finesse, and that stands out when it refuses to give in to the easy epic. [Full review in Spanish]",4/5,"Mar 5, 2024"
Abbie Bernstein,Assignment X,"Dune: Part Two is undeniably spectacular. Whether and how much one is moved by that spectacle depends on large part on what else, if anything, the viewer wants from it.",B+,"Mar 5, 2024"
Britany Murphy,Muses of Media,"With an unforgettable score, vivid visuals, and powerful performances, Dune: Part Two is what a sci-fi epic should be.",3.75/5,"Mar 5, 2024"
Tatsam Mukherjee,The Wire (INDIA),"In Dune: Part Two, Villeneuve is less subtle with his choices, being aggressively vocal about the film’s intent, leaving very little room for ambiguity.",NaN,"Mar 5, 2024"
Shah Shahid,Nerdspin,"Dune: Part Two works as an epic conclusion to the introduction in the first Dune. Part Two works better as the conclusion, experiencing as one cohesive story rather than two parts of one whole.",A,"Mar 5, 2024"
Mark Jackson,Epoch Times,"The first ""Dune"" was fun; the follow-up no longer has the element of surprise and falls flat as a desert mouse getting steamrollered by a giant sand worm.",2.5,"Mar 5, 2024"
Nicholas Bell,Fish Jelly Films (YouTube),"Finally, DUNE takes proper cinematic shape as the glorious sci-fi soap opera metaphor intended by Frank Herbert in Villeneuve's continuation, although its most potent offerings exist in the periphery.",3.5/5,"Mar 4, 2024"
Benjamín Harguindey,EscribiendoCine,"In terms of settling the various pending accounts of the first part, as well as introducing and resolving the second part, the film performs satisfactorily despite the occasional anticlimax... [Full review in Spanish]",9/10,"Mar 4, 2024"
Victor Pineyro,Seventh Art Studio,"I'll be telling my kids about the day I went to the theatre and watched the ""Dune"" saga. A celebration of human imagination, from its serious reflections to its wildest ideas. A cinematographic feat. [Full review in Spanish]",10/10,"Mar 4, 2024"
Alexander Joenks,Pajiba,"It builds on what worked in the first film, and firmly establishes that it has been constructed out of not only an affection for the source material, but also a profound understanding of the tragedy at the heart of Herbert’s work.",NaN,"Mar 4, 2024"
